Employee ID,Name,Age,Department,Salary,Years at Company,Performance Score,Attrition
E00105,Employee_105,24,Marketing,79726.71,2,1.26,Yes
E00106,Employee_106,22,Engineering,40311.14,2,1.0,Yes
E00107,Employee_107,26,Engineering,81335.14,4,1.0,Yes
E00108,Employee_108,47,Finance,54518.19,0,1.0,Yes
E00109,Employee_109,35,Marketing,68102.93,2,1.0,Yes
E00110,Employee_110,48,Sales,56696.38,0,1.0,Yes
E00111,Employee_111,30,Engineering,73593.78,6,1.85,Yes
E00112,Employee_112,36,Engineering,80374.21,4,1.44,Yes
E00113,Employee_113,36,IT,74705.16,3,2.02,No
E00114,Employee_114,47,Engineering,64940.28,1,1.0,Yes
E00115,Employee_115,34,Sales,57862.17,3,1.0,Yes
E00116,Employee_116,53,Finance,63960.47,3,1.0,Yes
E00117,Employee_117,53,IT,74839.57,9,1.53,Yes
E00118,Employee_118,25,Sales,75354.0,7,1.7,Yes
E00119,Employee_119,51,IT,73262.4,2,1.0,Yes
E00120,Employee_120,58,Sales,45761.34,5,1.0,Yes
E00121,Employee_121,44,HR,64654.66,7,1.0,Yes
E00122,Employee_122,36,Engineering,55498.57,2,1.0,Yes
E00123,Employee_123,50,Finance,74973.94,0,1.0,Yes
E00124,Employee_124,57,Engineering,53525.42,0,1.0,Yes
E00125,Employee_125,34,IT,71780.81,8,1.21,Yes
E00126,Employee_126,53,Finance,60767.18,4,1.98,No
E00127,Employee_127,28,Finance,36813.56,5,1.0,Yes
E00128,Employee_128,43,IT,78964.39,3,1.45,Yes
E00129,Employee_129,49,IT,64620.69,1,1.0,Yes
E00130,Employee_130,23,Sales,84139.66,1,1.61,Yes
E00131,Employee_131,27,Engineering,40020.36,0,1.0,Yes
E00132,Employee_132,49,Marketing,60627.18,7,1.0,Yes
E00133,Employee_133,49,Sales,61753.93,9,2.01,Yes
E00134,Employee_134,41,Finance,69053.09,5,1.07,Yes
E00135,Employee_135,51,Marketing,45122.19,0,1.09,Yes
E00136,Employee_136,32,Sales,73160.57,6,1.74,Yes
E00137,Employee_137,49,Finance,93674.94,8,2.23,No
E00138,Employee_138,46,Engineering,72118.06,7,2.61,No
E00139,Employee_139,54,HR,66393.09,4,1.2,Yes
E00140,Employee_140,22,Sales,44338.14,4,1.56,Yes
E00141,Employee_141,48,Sales,53386.31,4,1.0,Yes
E00142,Employee_142,34,Finance,64162.33,8,1.71,No
E00143,Employee_143,24,IT,57053.35,7,1.02,Yes
E00144,Employee_144,27,IT,80393.85,3,1.34,Yes
E00145,Employee_145,29,HR,73005.55,3,1.22,Yes
E00146,Employee_146,48,Sales,105385.68,3,1.0,Yes
E00147,Employee_147,30,Finance,50287.12,1,1.0,Yes
E00148,Employee_148,58,Sales,65496.72,9,1.67,Yes
E00149,Employee_149,54,Marketing,44247.61,2,1.0,Yes
E00150,Employee_150,45,IT,31663.39,6,1.0,Yes
E00151,Employee_151,36,Finance,75840.81,3,1.56,No
E00152,Employee_152,53,Marketing,72449.23,3,1.67,Yes
E00153,Employee_153,53,Sales,52181.14,4,1.0,Yes
E00154,Employee_154,45,Finance,66395.44,6,1.95,No
E00155,Employee_155,33,Engineering,55560.99,4,1.56,Yes
E00156,Employee_156,23,Marketing,57586.89,1,1.0,Yes
E00157,Employee_157,24,Engineering,60195.73,5,1.16,No
E00158,Employee_158,58,Finance,51551.52,2,1.0,Yes
E00159,Employee_159,38,IT,54250.25,9,2.2,Yes
E00160,Employee_160,23,Sales,54673.47,4,1.09,Yes
E00161,Employee_161,23,Engineering,71343.18,2,1.61,Yes
E00162,Employee_162,49,IT,23386.7,10,1.0,Yes
E00163,Employee_163,44,Engineering,61585.56,7,1.0,Yes
E00164,Employee_164,58,Engineering,48684.77,2,1.0,Yes
E00165,Employee_165,53,Sales,49226.71,2,1.48,Yes
E00166,Employee_166,54,Sales,57115.2,6,1.63,Yes
E00167,Employee_167,22,IT,64784.9,5,2.31,No
E00168,Employee_168,40,HR,61783.82,7,1.0,Yes
E00169,Employee_169,23,Sales,49039.09,3,1.31,Yes
E00170,Employee_170,47,Engineering,75825.45,7,1.84,Yes
E00171,Employee_171,53,Engineering,51460.94,0,1.0,Yes
E00172,Employee_172,27,Sales,53979.41,4,1.33,Yes
E00173,Employee_173,53,Engineering,69267.38,3,1.06,Yes
E00174,Employee_174,25,Engineering,69805.53,3,1.23,No
E00175,Employee_175,32,Engineering,55824.51,4,1.3,Yes
E00176,Employee_176,38,Finance,20957.57,8,1.5,Yes
E00177,Employee_177,59,Sales,51717.64,1,1.0,Yes
E00178,Employee_178,45,Finance,67428.32,0,1.56,Yes
E00179,Employee_179,26,HR,75329.12,1,1.0,Yes
E00180,Employee_180,55,HR,63810.55,8,2.38,Yes
E00181,Employee_181,27,Finance,57815.21,0,1.0,Yes
E00182,Employee_182,43,HR,99398.17,3,1.0,Yes
E00183,Employee_183,32,IT,59412.71,7,1.0,Yes
E00184,Employee_184,37,Finance,74183.49,4,1.62,Yes
E00185,Employee_185,54,HR,44974.22,8,1.0,Yes
E00186,Employee_186,30,IT,48647.48,0,1.23,Yes
E00187,Employee_187,27,Finance,74709.88,4,1.0,Yes
E00188,Employee_188,37,Engineering,80668.42,9,1.91,Yes
E00189,Employee_189,50,Sales,59154.25,1,1.01,Yes
E00190,Employee_190,24,Sales,37270.46,8,1.0,Yes
E00191,Employee_191,41,IT,62486.64,4,1.0,Yes
E00192,Employee_192,57,Finance,67841.09,6,1.42,Yes
E00193,Employee_193,40,Marketing,66482.27,8,1.33,Yes
E00194,Employee_194,47,Finance,56549.16,6,1.41,Yes
E00195,Employee_195,24,Engineering,62706.74,3,1.0,Yes
E00196,Employee_196,40,Sales,53753.35,6,1.0,Yes
E00197,Employee_197,41,Finance,48322.43,3,1.0,Yes
E00198,Employee_198,53,HR,76335.03,5,1.0,Yes
E00199,Employee_199,28,Marketing,66466.97,1,1.26,Yes
E00200,Employee_200,54,Sales,62739.75,5,1.0,Yes
E00201,Employee_201,39,HR,57392.78,8,2.12,Yes
E00202,Employee_202,22,Finance,62297.4,4,1.0,Yes
E00203,Employee_203,32,Finance,67404.75,8,1.21,Yes
E00204,Employee_204,49,HR,90930.22,14,1.69,No
E00205,Employee_205,46,IT,74818.05,4,1.72,Yes
E00206,Employee_206,44,Sales,55005.36,6,1.38,Yes
E00207,Employee_207,52,Finance,55163.54,6,1.85,Yes
E00208,Employee_208,51,Finance,52824.78,5,1.0,Yes
E00209,Employee_209,56,IT,61992.19,7,1.3,Yes
E00210,Employee_210,28,IT,52813.23,4,1.0,Yes
E00211,Employee_211,37,Engineering,72122.36,3,1.0,Yes
E00212,Employee_212,47,Engineering,25347.26,0,1.0,Yes
E00213,Employee_213,23,Marketing,73027.52,3,1.22,No
E00214,Employee_214,22,HR,69130.66,7,2.3,Yes
E00215,Employee_215,33,Marketing,83941.14,2,1.0,Yes
E00216,Employee_216,26,Sales,78151.84,5,1.4,Yes
E00217,Employee_217,58,Finance,54744.53,4,1.0,Yes
E00218,Employee_218,53,IT,76464.47,3,1.1,Yes
E00219,Employee_219,30,Marketing,62478.99,0,1.0,Yes
E00220,Employee_220,56,Engineering,35985.4,9,1.16,Yes
E00221,Employee_221,40,Finance,67382.48,6,1.0,Yes
E00222,Employee_222,37,HR,55636.2,12,1.1,Yes
E00223,Employee_223,24,Sales,65003.32,8,1.32,Yes
E00224,Employee_224,41,Finance,89771.75,9,1.09,No
E00225,Employee_225,45,Finance,68371.8,0,1.0,Yes
E00226,Employee_226,54,Marketing,49739.98,0,1.0,Yes
E00227,Employee_227,45,Engineering,79466.23,5,1.0,Yes
E00228,Employee_228,32,Sales,70438.14,1,1.77,Yes
E00229,Employee_229,29,Sales,47972.57,2,1.0,Yes
E00230,Employee_230,57,Engineering,40906.43,12,1.0,Yes
E00231,Employee_231,59,Engineering,50339.94,8,1.43,No
E00232,Employee_232,41,IT,77544.53,2,1.0,Yes
E00233,Employee_233,56,Engineering,60475.97,0,1.0,Yes
E00234,Employee_234,46,Marketing,66217.14,1,1.0,Yes
E00235,Employee_235,56,Marketing,44922.05,3,1.0,Yes
E00236,Employee_236,46,Finance,77948.28,4,1.28,Yes
E00237,Employee_237,50,Marketing,34772.25,1,1.0,Yes
E00238,Employee_238,39,IT,55169.34,8,1.0,Yes
E00239,Employee_239,39,HR,71276.96,2,1.0,Yes
E00240,Employee_240,23,Sales,48160.53,6,1.0,Yes
E00241,Employee_241,56,Engineering,74211.94,5,1.2,Yes
E00242,Employee_242,37,HR,51962.09,7,1.55,No
E00243,Employee_243,57,IT,46608.94,4,1.5,Yes
E00244,Employee_244,54,Engineering,84297.23,2,1.59,Yes
E00245,Employee_245,25,IT,67308.95,3,1.65,Yes
E00246,Employee_246,54,Finance,72785.54,3,1.0,Yes
E00247,Employee_247,35,Sales,80273.14,11,1.39,No
E00248,Employee_248,42,Marketing,25710.52,5,1.16,Yes
E00249,Employee_249,41,HR,74521.74,5,1.0,Yes
E00250,Employee_250,29,Engineering,53584.62,7,1.24,Yes
E00251,Employee_251,28,Finance,55560.91,4,1.33,Yes
E00252,Employee_252,24,Sales,71561.62,8,2.53,No
E00253,Employee_253,38,Finance,59554.39,3,1.16,Yes
E00254,Employee_254,54,Engineering,73917.82,3,1.14,No
E00255,Employee_255,33,Engineering,64387.36,2,1.0,No
E00256,Employee_256,43,Marketing,67523.14,10,2.26,No
E00257,Employee_257,43,HR,57646.68,4,1.18,Yes
E00258,Employee_258,51,Sales,49026.0,1,1.0,Yes
E00259,Employee_259,59,Engineering,53895.24,5,1.0,Yes
E00260,Employee_260,59,Marketing,63457.64,3,1.0,No
E00261,Employee_261,29,Sales,92558.58,3,1.25,Yes
E00262,Employee_262,48,Sales,87078.6,5,1.0,No
E00263,Employee_263,48,Sales,55200.56,9,2.06,Yes
E00264,Employee_264,55,Sales,65903.87,5,1.68,No
E00265,Employee_265,42,IT,60684.16,2,1.0,Yes
E00266,Employee_266,51,Finance,66954.0,3,1.0,Yes
E00267,Employee_267,54,Engineering,68883.69,6,1.28,Yes
E00268,Employee_268,49,Finance,72912.73,0,1.0,Yes
E00269,Employee_269,54,Engineering,21482.92,1,1.0,Yes
E00270,Employee_270,26,Marketing,70497.48,5,1.7,Yes
E00271,Employee_271,40,Marketing,59016.18,0,1.0,Yes
E00272,Employee_272,25,Engineering,54425.93,4,1.0,Yes
E00273,Employee_273,56,IT,76913.85,3,1.46,Yes
E00274,Employee_274,38,IT,87002.37,7,1.73,Yes
E00275,Employee_275,49,Engineering,75335.05,4,1.0,Yes
E00276,Employee_276,51,Sales,57221.73,8,1.57,Yes
E00277,Employee_277,50,Engineering,48859.92,5,1.0,Yes
E00278,Employee_278,27,IT,19906.33,10,1.04,Yes
E00279,Employee_279,56,Marketing,67737.74,0,1.2,Yes
E00280,Employee_280,58,IT,73685.24,9,2.1,No
E00281,Employee_281,45,IT,63472.05,3,1.08,Yes
E00282,Employee_282,50,Finance,79006.19,9,1.16,Yes
E00283,Employee_283,52,IT,45197.15,8,1.06,Yes
E00284,Employee_284,56,IT,62431.42,0,1.0,Yes
E00285,Employee_285,54,Engineering,61245.49,6,1.94,Yes
E00286,Employee_286,42,HR,63348.37,7,1.0,Yes
E00287,Employee_287,53,IT,82518.97,8,1.19,Yes
E00288,Employee_288,44,Sales,63427.37,1,1.3,Yes
E00289,Employee_289,54,IT,60578.11,6,1.89,Yes
E00290,Employee_290,24,Sales,50949.6,5,1.0,Yes
E00291,Employee_291,39,HR,84928.69,6,2.22,No
E00292,Employee_292,46,IT,43532.06,7,1.0,Yes
E00293,Employee_293,52,Engineering,56705.01,8,1.0,No
E00294,Employee_294,24,Sales,90409.06,3,1.6,Yes
E00295,Employee_295,45,Engineering,72023.65,5,1.87,Yes
E00296,Employee_296,53,IT,64697.35,5,1.79,Yes
E00297,Employee_297,43,Sales,65325.38,4,1.0,Yes
E00298,Employee_298,44,Marketing,50804.33,4,1.01,Yes
E00299,Employee_299,23,Sales,63972.09,5,1.56,Yes
E00300,Employee_300,48,Marketing,59752.01,3,1.05,Yes
E00301,Employee_301,23,Marketing,67694.43,7,2.1,Yes
E00302,Employee_302,47,Engineering,42406.38,8,1.02,Yes
E00303,Employee_303,38,HR,70967.78,2,1.0,No
E00304,Employee_304,54,Engineering,80249.45,8,1.72,Yes
E00305,Employee_305,30,Finance,61942.65,2,1.24,Yes
E00306,Employee_306,50,Sales,74706.48,7,1.35,Yes
E00307,Employee_307,47,Sales,69655.19,8,1.96,Yes
E00308,Employee_308,56,Sales,55883.9,4,1.76,No
E00309,Employee_309,46,Engineering,49122.11,2,1.0,Yes
E00310,Employee_310,45,Engineering,51224.17,3,1.0,Yes
E00311,Employee_311,34,Finance,69393.39,6,1.78,No
E00312,Employee_312,28,Marketing,64157.82,10,2.61,No
E00313,Employee_313,57,Engineering,84126.4,0,1.16,Yes
E00314,Employee_314,41,HR,76863.05,5,1.0,Yes
E00315,Employee_315,22,Engineering,76831.77,4,1.27,No
E00316,Employee_316,29,IT,68946.21,3,1.47,No
E00317,Employee_317,37,Marketing,50567.02,4,1.0,Yes
E00318,Employee_318,35,IT,69880.09,3,1.0,Yes
E00319,Employee_319,33,Marketing,65957.8,8,1.29,Yes
E00320,Employee_320,44,Sales,47924.28,9,1.71,Yes
E00321,Employee_321,36,IT,83149.24,5,1.0,No
E00322,Employee_322,49,IT,81534.34,4,1.0,Yes
E00323,Employee_323,55,Sales,47837.76,3,1.0,Yes
E00324,Employee_324,23,Marketing,55433.08,5,1.6,No
E00325,Employee_325,53,Sales,56750.75,10,1.71,Yes
E00326,Employee_326,44,Finance,74147.77,4,1.33,Yes
E00327,Employee_327,43,Sales,72420.88,2,1.43,Yes
E00328,Employee_328,46,Engineering,65666.11,3,1.76,Yes
E00329,Employee_329,43,Finance,69107.86,7,2.13,Yes
E00330,Employee_330,43,HR,45685.52,2,1.0,Yes
E00331,Employee_331,27,Engineering,70720.42,4,1.16,Yes
E00332,Employee_332,36,Engineering,63486.72,6,1.69,Yes
E00333,Employee_333,58,IT,54814.35,3,1.7,Yes
E00334,Employee_334,54,Sales,42012.41,0,1.0,Yes
E00335,Employee_335,29,Engineering,65404.42,1,1.0,Yes
E00336,Employee_336,26,Marketing,70354.4,2,1.0,Yes
E00337,Employee_337,25,IT,39462.77,4,1.0,Yes
E00338,Employee_338,27,Engineering,65277.29,5,1.31,Yes
E00339,Employee_339,53,IT,66833.6,7,1.13,Yes
E00340,Employee_340,51,IT,56686.56,1,1.0,Yes
E00341,Employee_341,56,IT,70697.57,7,1.0,Yes
E00342,Employee_342,37,HR,63010.06,3,1.0,No
E00343,Employee_343,34,Sales,69247.57,0,1.0,Yes
E00344,Employee_344,51,Engineering,73013.7,5,1.0,Yes
E00345,Employee_345,40,Engineering,73022.1,8,2.56,No
E00346,Employee_346,38,HR,80252.31,7,1.5,No
E00347,Employee_347,40,Sales,70074.88,4,1.0,Yes
E00348,Employee_348,49,Finance,57844.39,8,1.71,No
E00349,Employee_349,47,Engineering,55283.15,5,1.63,Yes
E00350,Employee_350,58,Engineering,49050.37,7,2.31,Yes
E00351,Employee_351,47,IT,67267.69,0,1.53,Yes
E00352,Employee_352,44,Engineering,84819.68,1,1.17,Yes
E00353,Employee_353,30,Sales,59623.21,7,1.0,Yes
E00354,Employee_354,33,IT,71744.12,9,1.12,Yes
E00355,Employee_355,22,Sales,53715.8,6,1.0,Yes
E00356,Employee_356,22,Finance,67922.07,3,1.23,Yes
E00357,Employee_357,55,IT,83890.21,2,1.09,Yes
E00358,Employee_358,53,Engineering,75293.72,4,1.0,Yes
E00359,Employee_359,46,IT,41437.82,8,1.0,Yes
E00360,Employee_360,22,HR,73560.42,3,1.17,Yes
E00361,Employee_361,37,Engineering,74243.39,8,1.6,No
E00362,Employee_362,26,Sales,67602.3,6,1.17,No
E00363,Employee_363,43,Engineering,75012.83,10,1.99,No
E00364,Employee_364,50,Marketing,52497.47,5,1.65,Yes
E00365,Employee_365,24,Engineering,65948.95,4,1.21,No
E00366,Employee_366,33,HR,81652.61,8,1.15,No
E00367,Employee_367,47,HR,80299.24,2,1.96,Yes
E00368,Employee_368,37,HR,73220.67,3,1.0,Yes
E00369,Employee_369,58,Sales,51755.07,0,1.0,Yes
E00370,Employee_370,43,Engineering,49393.04,1,1.0,Yes
E00371,Employee_371,50,Finance,66718.16,10,1.13,No
E00372,Employee_372,35,Sales,67711.61,7,1.0,Yes
E00373,Employee_373,49,Sales,63494.42,0,1.0,Yes
E00374,Employee_374,26,Sales,52928.23,8,1.0,Yes
E00375,Employee_375,51,Engineering,71554.42,2,1.0,Yes
E00376,Employee_376,26,IT,66652.48,6,1.82,Yes
E00377,Employee_377,33,Sales,69347.36,6,1.0,Yes
E00378,Employee_378,37,Sales,73901.51,9,2.92,No
E00379,Employee_379,47,Engineering,60895.25,3,1.6,Yes
E00380,Employee_380,47,Finance,57668.62,2,1.0,Yes
E00381,Employee_381,42,Finance,81613.48,0,1.0,Yes
E00382,Employee_382,57,Engineering,53639.62,4,1.0,Yes
E00383,Employee_383,54,IT,57962.39,7,1.22,Yes
E00384,Employee_384,51,Finance,83513.72,7,1.57,Yes
E00385,Employee_385,58,IT,56794.64,8,1.27,No
E00386,Employee_386,44,IT,63520.74,5,1.67,Yes
E00387,Employee_387,31,Engineering,58820.45,6,1.94,Yes
E00388,Employee_388,26,Engineering,38251.68,5,1.12,Yes
E00389,Employee_389,57,Sales,63150.39,7,1.59,No
E00390,Employee_390,55,Engineering,49840.67,2,1.0,Yes
E00391,Employee_391,52,Marketing,68818.71,0,1.0,Yes
E00392,Employee_392,31,Engineering,81584.58,2,1.22,Yes
E00393,Employee_393,40,Sales,31787.39,5,1.0,Yes
E00394,Employee_394,53,IT,58896.25,1,1.02,Yes
E00395,Employee_395,22,HR,71784.85,3,1.0,Yes
E00396,Employee_396,26,Sales,32249.77,3,1.0,Yes
E00397,Employee_397,25,Engineering,85043.98,7,1.03,Yes
E00398,Employee_398,37,Engineering,70698.38,6,1.0,Yes
E00399,Employee_399,45,IT,81248.19,5,1.17,Yes
E00400,Employee_400,37,Sales,56540.78,6,1.68,Yes
E00401,Employee_401,23,Engineering,58350.19,6,1.2,Yes
E00402,Employee_402,49,HR,62585.95,3,1.0,Yes
E00403,Employee_403,53,Engineering,97073.14,3,1.0,Yes
E00404,Employee_404,48,Finance,84771.58,9,1.54,Yes
E00405,Employee_405,41,Engineering,66985.22,0,1.09,Yes
E00406,Employee_406,45,Engineering,68816.03,2,1.59,Yes
E00407,Employee_407,33,Marketing,74523.56,4,1.0,No
E00408,Employee_408,56,Finance,100873.32,6,1.79,Yes
E00409,Employee_409,54,Sales,70740.8,8,1.31,Yes
E00410,Employee_410,54,HR,65689.39,10,1.49,Yes
E00411,Employee_411,58,IT,59921.02,4,1.0,No
E00412,Employee_412,33,Finance,68523.73,4,1.0,Yes
E00413,Employee_413,24,Sales,56194.67,6,1.0,Yes
E00414,Employee_414,22,Marketing,72441.39,3,1.0,Yes
E00415,Employee_415,54,Engineering,43511.05,1,1.11,Yes
E00416,Employee_416,31,Sales,61092.49,4,1.33,Yes
E00417,Employee_417,50,Sales,76019.49,7,2.42,Yes
E00418,Employee_418,34,Sales,70536.85,4,1.37,No
E00419,Employee_419,33,IT,58060.63,6,1.27,Yes
E00420,Employee_420,52,Sales,61519.63,0,1.0,Yes
E00421,Employee_421,23,Sales,80530.02,5,1.0,Yes
E00422,Employee_422,56,IT,46843.97,3,1.0,Yes
E00423,Employee_423,44,Engineering,46931.1,1,1.0,Yes
E00424,Employee_424,38,Sales,51055.49,6,1.0,Yes
E00425,Employee_425,47,Sales,64839.83,10,2.21,Yes
E00426,Employee_426,29,Sales,44648.93,7,1.52,Yes
E00427,Employee_427,50,Sales,79295.02,8,1.17,Yes
E00428,Employee_428,47,Finance,51135.61,7,1.0,Yes
E00429,Employee_429,31,Sales,68365.33,6,1.28,Yes
E00430,Employee_430,47,Sales,56313.9,0,1.0,Yes
E00431,Employee_431,55,IT,64017.54,4,1.31,Yes
E00432,Employee_432,28,Finance,40949.81,6,1.32,Yes
E00433,Employee_433,25,Engineering,80019.74,6,1.0,Yes
E00434,Employee_434,32,HR,50577.53,8,1.0,Yes
E00435,Employee_435,50,Engineering,49006.75,1,1.0,Yes
E00436,Employee_436,57,Engineering,100685.14,6,2.18,Yes
E00437,Employee_437,46,HR,73314.61,1,1.16,Yes
E00438,Employee_438,42,Engineering,79436.25,4,1.0,No
E00439,Employee_439,57,Marketing,71883.37,4,1.0,No
E00440,Employee_440,31,Sales,58212.79,7,1.52,No
E00441,Employee_441,58,IT,45397.25,7,1.0,Yes
E00442,Employee_442,30,Sales,60517.69,5,1.0,Yes
E00443,Employee_443,45,IT,50327.61,0,1.0,Yes
E00444,Employee_444,56,Finance,51228.27,6,1.0,Yes
E00445,Employee_445,56,IT,41252.19,4,1.0,Yes
E00446,Employee_446,57,Sales,66717.14,9,1.9,Yes
E00447,Employee_447,39,HR,88601.18,8,1.26,Yes
E00448,Employee_448,53,HR,73372.05,2,1.0,Yes
E00449,Employee_449,45,Finance,63413.14,6,1.03,Yes
E00450,Employee_450,44,HR,64391.42,6,1.98,Yes
E00451,Employee_451,53,HR,19283.34,6,1.06,Yes
E00452,Employee_452,58,Engineering,58642.47,6,1.48,No
